,score,like,content,user,views,date,is_buyer
0,8,0,다시 한번 보고 싶음.,burn***,3,2022.03.17,True
1,10,0,최고에요,shodrea***,12,2022.03.17,True
2,8,0,최고의 황후 차지연,henr1***,15,2022.03.17,True
3,10,0,너무멋져요,1001jje***,9,2022.03.17,True
4,4,0,아쉬웠습니다,fe***,17,2022.03.17,True
5,10,0,토월 음향 좀 어떻게 안될까요...,dalsans***,21,2022.03.17,True
6,10,4,휘역 윤태호 배우님 깊은 울림을 주시네요.,iyb***,30,2022.03.16,True
7,10,0,아쉬운 부분은 좀 있지만...,mizera***,55,2022.03.16,True
8,10,0,아쉽지만 좋았습니다.,mizera***,44,2022.03.16,True
9,8,0,하은서 황후 최고ㅠ,kateli***,43,2022.03.16,True
10,10,1,다각도로 그녀의 삶을 볼 수 있어요,goodlove1***,42,2022.03.15,True
11,10,1,배우들 연기에 압도당하게 되는...,munhyun0***,59,2022.03.14,True
12,10,0,몇번을 봐도 울게 되는...,munhyun0***,49,2022.03.14,True
13,10,0,훌륭한 배우와 무대,kim382***,54,2022.03.14,True
14,8,0,차황후의 무게감에 비해 가벼운 주조연,nasky9***,91,2022.03.14,True
15,10,0,강추!!,eve***,34,2022.03.14,True
16,10,0,재밌어요!!!,so7***,19,2022.03.14,True
17,10,0,재밌어요,so7***,20,2022.03.14,True
18,10,1,최고입니다,harunl***,20,2022.03.14,True
19,10,0,잃얼,chb8***,22,2022.03.14,True
20,10,0,하은서 황후 최고,yeol0***,61,2022.03.12,True
21,10,0,총체극 잃어버린 얼굴,yeol0***,83,2022.03.12,True
22,10,0,몇번의 죽음을 선고 받은 여인,a20***,46,2022.03.11,True
23,8,0,배우님들 쾌차를 빕니다.,mmkk***,79,2022.03.11,False
24,6,0,차황후만 좋은…,minsuns***,147,2022.03.10,True
25,10,0,공연 취소되기 전에ㅠㅠ,silver***,123,2022.03.10,True
26,8,0,잘봤습니다.,hyukt***,69,2022.03.10,True
27,10,0,서예단 시그니처,hiro0***,76,2022.03.10,True
28,8,0,이른 봄 늦은 겨울을 지나 만나는 잃어버린 얼굴,millun***,132,2022.03.09,True
29,10,1,재밌었어요,ysmell***,93,2022.03.09,True
30,10,1,2022 최고의 뮤지컬,sj124***,164,2022.03.09,True
31,10,0,잃어버린 얼굴 1895,allthethi***,112,2022.03.09,True
32,10,0,잃어버린 얼굴 1895,allthethi***,81,2022.03.09,True
33,10,3,잘보고왔어요,kj9***,114,2022.03.08,True
34,10,0,좋아요!,soyak***,66,2022.03.08,True
35,8,0,아름다운 무대미술 그리고 차지연,duddms2***,140,2022.03.08,True
36,8,0,돌아온 차황후!,duddms2***,105,2022.03.08,True
37,10,0,역시 잃얼,ccd***,71,2022.03.08,True
38,10,0,홀린 듯이 빠져보게 되는 차황후.,mig***,95,2022.03.08,True
39,10,0,숨이 막힐 정도로 강렬한 극,psyche1***,88,2022.03.08,True
40,10,3,은서황후 역대 황후 중 최고,julietwin2***,139,2022.03.07,True
41,10,0,차황후 잃얼 꼭 보세요,knox***,80,2022.03.07,True
42,10,0,차황후.. 기다려요,dmstnya191***,65,2022.03.07,True
43,10,0,역시 차황후!!!,ksjh8***,48,2022.03.07,True
44,10,0,잃어버린 나의 얼..굴..,infinite1***,74,2022.03.07,True
45,10,0,잃얼 ㅠㅠㅠ,joung6***,68,2022.03.07,True
46,10,0,역시 차황후,joung6***,49,2022.03.07,True
47,10,0,역시 차황후,joung6***,48,2022.03.07,True
48,8,0,지금껏 보지못한 명성황후,kkjm1***,98,2022.03.07,True
49,10,0,보기 잘했어요,kiwis***,51,2022.03.07,True
50,8,0,차 배우님의 몰입에 ..,shar***,94,2022.03.07,True
51,8,0,잘봤습니다.,hyukt***,51,2022.03.07,True
52,10,0,좋아요,alswldp0***,28,2022.03.07,True
53,10,0,강력 추천,lw4***,33,2022.03.07,True
54,8,0,흥미로웠어요.,ranz***,55,2022.03.07,True
55,10,0,공연 잘봤습니다,eun***,33,2022.03.07,True
56,10,0,다들 좀 봐주세요,gpwls810***,66,2022.03.07,True
57,8,0,무대가 아름다워습니다.,weon2***,68,2022.03.07,True
58,10,0,재미있어요:),seicayui0***,29,2022.03.07,True
59,8,0,잃어버린 역사,l5v2***,60,2022.03.07,True
60,8,0,잘 봤습니다.,sjflr***,40,2022.03.07,True
61,8,0,진실이 더 궁금해진.. 극..~~,blu***,68,2022.03.07,True
62,10,0,서예단이기에,jessica0***,60,2022.03.07,True
63,10,0,좋은공연이었습니다.,whtl***,28,2022.03.07,True
64,10,2,믿고보는 차지연의 나홀로 하드캐리,skektjsd***,86,2022.03.07,True
65,10,0,재미있는데...,nature1***,52,2022.03.07,True
66,10,0,잘 봤어요,unj***,29,2022.03.07,True
67,10,0,은서황후 회차 더 늘려주세요,btob0***,74,2022.03.07,True
68,10,0,다 좋은데....,dalsans***,87,2022.03.07,True
69,10,1,기존 배우들이 오지않아 아쉬운 점은 있지만,vpoo***,99,2022.03.07,True
70,10,1,''한국적''이라는 표현을 쓸 자격이 있는 몇 안되는 극입니다,vpoo***,84,2022.03.07,True
71,10,0,한결같이 좋네요,crok***,36,2022.03.07,True
72,8,0,내겐 조금 난해한 공연,ara***,95,2022.03.07,True
73,10,0,차황후 최고,mik0***,43,2022.03.07,True
74,8,0,러러러,goddn***,63,2022.03.07,True
75,10,0,"하,,,,,,,차지연최고",black_***,43,2022.03.07,True
76,10,0,최고의 공연입니다.,sisi0***,33,2022.03.07,True
77,10,1,최고의 공연입니다.,sisi0***,34,2022.03.07,True
78,10,0,잃얼 후기,cy7***,41,2022.03.07,True
79,10,0,다시 찾으리라 잃어버린 얼굴,jyj9***,39,2022.03.07,True
80,10,0,역시 차황후 ,hamik***,28,2022.03.07,True
81,10,0,차황후 짱짱,dbfwkd1***,26,2022.03.07,True
82,10,0,차지연 배우님 역시 최고!,jhoo***,25,2022.03.07,True
83,10,0,역시 잃얼은 잃얼,brang0***,27,2022.03.07,True
84,10,0,차지연 연기만으로도 볼만한 가치가 있는 극,style1***,37,2022.03.07,True
85,10,1,강인한 모습의 은서황후 너무 좋았어요!!,december1***,43,2022.03.07,True
86,10,0,잘봤습니다,0***,23,2022.03.07,True
87,10,0,앞으로도 계속 롱런했으면 하는 작품,december1***,31,2022.03.07,True
88,10,0,잘봤습니다,0***,22,2022.03.07,True
89,10,0,강력추천,poop***,21,2022.03.07,True
90,10,1,하은서배우 너무잘해요,web***,31,2022.03.07,True
91,10,0,차황후 최고,sarah0***,16,2022.03.07,True
92,10,0,명불허전,poop***,26,2022.03.07,True
93,10,0,재밌어요,rhkr0***,18,2022.03.07,True
94,10,0,잃어버린 얼굴,ouj1***,19,2022.03.07,True
95,10,0,차지연,ydyd***,18,2022.03.07,True
96,10,0,차지연..,gidoh***,19,2022.03.07,True
97,10,1,잃얼,chb8***,22,2022.03.07,True
98,10,0,추천합니다,suhyun9***,16,2022.03.07,True
99,8,0,잘봤습니다.,joyheel6***,28,2022.03.07,True
100,10,0,잃얼,chb8***,18,2022.03.07,True
101,6,0,차황후,minsuns***,49,2022.03.06,True
102,8,0,처연함의 새로운 정의를 알 수 있읍니다..,lovesen***,55,2022.03.06,True
103,4,0,명성왕후의 명성만 믿고 갔는데,jisu***,115,2022.03.06,True
104,8,0,사전공부 필수,cutty***,80,2022.03.06,True
105,8,1,잃얼은 잃얼이지만,kim91***,139,2022.03.06,True
106,10,0,그냥무조겈,top1***,64,2022.03.06,True
107,10,0,미쳤습니다!!!!,top1***,63,2022.03.06,True
108,10,0,새로운 황후의 강렬한 카리스마!,bangg***,82,2022.03.06,True
109,10,0,잃얼은 잃얼이네요.,ghd3***,84,2022.03.06,True
110,10,2,명불허전 차황후,wwwwwww***,83,2022.03.06,True
111,8,1,역시 믿고봅니다,henr1***,75,2022.03.06,True
112,10,1,재밌게 봤습니다,dalsans***,70,2022.03.06,True
113,8,5,실력도 없는 배우 주연으로 내세우지 마세요,btob0***,248,2022.03.06,True
